"","Selling_Price","Present_Price","Kms_Driven","Fuel_Type","Seller_Type","Transmission","Owner","age"
"1",3.35,5.59,27000,0,0,0,0,7
"2",4.75,9.54,43000,1,0,0,0,8
"3",7.25,9.85,6900,0,0,0,0,4
"4",2.85,4.15,5200,0,0,0,0,10
"5",4.6,6.87,42450,1,0,0,0,7
"6",9.25,9.83,2071,1,0,0,0,3
"7",6.75,8.12,18796,0,0,0,0,6
"8",6.5,8.61,33429,1,0,0,0,6
"9",8.75,8.89,20273,1,0,0,0,5
"10",7.45,8.92,42367,1,0,0,0,6
"11",2.85,3.6,2135,0,0,0,0,4
"12",6.85,10.38,51000,1,0,0,0,6
"13",7.5,9.94,15000,0,0,1,0,6
"14",6.1,7.71,26000,0,0,0,0,6
"15",2.25,7.21,77427,0,0,0,0,12
"16",7.75,10.79,43000,1,0,0,0,5
"17",7.25,10.79,41678,1,0,0,0,6
"18",7.75,10.79,43000,1,0,0,0,5
"19",3.25,5.09,35500,2,0,0,0,6
"20",2.65,7.98,41442,0,0,0,0,11
"21",2.85,3.95,25000,0,0,0,0,5
"22",4.9,5.71,2400,0,0,0,0,4
"23",4.4,8.01,50000,0,0,1,0,10
"24",2.5,3.46,45280,0,0,0,0,7
"25",2.9,4.41,56879,0,0,0,0,8
"26",3,4.99,20000,0,0,0,0,10
"27",4.15,5.87,55138,0,0,0,0,8
"28",6,6.49,16200,0,1,0,0,4
"29",1.95,3.95,44542,0,0,0,0,11
"30",7.45,10.38,45000,1,0,0,0,6
"31",3.1,5.98,51439,1,0,0,0,9
"32",2.35,4.89,54200,0,0,0,0,10
"33",4.95,7.49,39000,1,0,0,0,7
"34",6,9.95,45000,1,0,0,0,7
"35",5.5,8.06,45000,1,0,0,0,7
"36",2.95,7.74,49998,2,0,0,0,10
"37",4.65,7.2,48767,0,0,0,0,6
"38",0.35,2.28,127000,0,1,0,0,18
"39",3,3.76,10079,0,0,0,0,5
"40",2.25,7.98,62000,0,0,0,0,18
"41",5.85,7.87,24524,0,0,1,0,5
"42",2.55,3.98,46706,0,0,0,0,7
"43",1.95,7.15,58000,0,0,0,0,13
"44",5.5,8.06,45780,1,0,0,0,7
"45",1.25,2.69,50000,0,0,0,0,9
"46",7.5,12.04,15000,0,0,1,0,7
"47",2.65,4.89,64532,0,0,0,0,8
"48",1.05,4.15,65000,0,0,0,0,15
"49",5.8,7.71,25870,0,0,0,0,6
"50",7.75,9.29,37000,0,0,1,0,4
"51",14.9,30.61,104707,1,0,1,0,9
"52",23,30.61,40000,1,0,1,0,6
"53",18,19.77,15000,1,0,1,0,4
"54",16,30.61,135000,1,1,1,0,8
"55",2.75,10.21,90000,0,1,0,0,16
"56",3.6,15.04,70000,0,0,1,0,12
"57",4.5,7.27,40534,0,0,0,0,6
"58",4.75,18.54,50000,0,0,0,0,11
"59",4.1,6.8,39485,0,0,0,1,7
"60",19.99,35.96,41000,1,0,1,0,7
"61",6.95,18.61,40001,0,0,0,0,8
"62",4.5,7.7,40588,0,0,0,0,6
"63",18.75,35.96,78000,1,0,1,0,7
"64",23.5,35.96,47000,1,0,1,0,6
"65",33,36.23,6000,1,0,1,0,4
"66",4.75,6.95,45000,1,0,0,0,7
"67",19.75,23.15,11000,0,0,1,0,4
"68",9.25,20.45,59000,1,0,0,0,11
"69",4.35,13.74,88000,0,0,0,0,10
"70",14.25,20.91,12000,0,0,0,0,5
"71",3.95,6.76,71000,1,0,0,0,7
"72",4.5,12.48,45000,1,0,0,0,10
"73",7.45,18.61,56001,0,0,0,0,8
"74",2.65,5.71,43000,0,0,0,0,10
"75",4.9,8.93,83000,1,0,0,0,7
"76",3.95,6.8,36000,0,0,0,0,6
"77",5.5,14.68,72000,0,0,0,0,8
"78",1.5,12.35,135154,0,0,1,0,17
"79",5.25,22.83,80000,0,0,1,0,11
"80",14.5,30.61,89000,1,0,1,0,9
"81",14.73,14.89,23000,1,0,0,0,5
"82",4.75,7.85,40000,1,0,0,0,6
"83",23,25.39,15000,1,0,1,0,4
"84",12.5,13.46,38000,1,0,0,0,6
"85",3.49,13.46,197176,1,0,0,0,16
"86",2.5,23.73,142000,0,1,1,3,15
"87",35,92.6,78000,1,0,0,0,11
"88",5.9,13.74,56000,0,0,0,0,9
"89",3.45,6.05,47000,0,0,0,0,8
"90",4.75,6.76,40000,0,0,0,0,7
"91",3.8,18.61,62000,0,0,0,0,12
"92",11.25,16.09,58242,1,0,0,0,7
"93",3.51,13.7,75000,0,0,0,0,16
"94",23,30.61,40000,1,0,1,0,6
"95",4,22.78,89000,0,0,1,0,13
"96",5.85,18.61,72000,0,0,0,0,9
"97",20.75,25.39,29000,1,0,1,0,5
"98",17,18.64,8700,0,0,0,0,4
"99",7.05,18.61,45000,0,0,0,0,8
"100",9.65,20.45,50024,1,0,0,0,11
"101",1.75,1.9,3000,0,1,0,0,5
"102",1.7,1.82,1400,0,1,0,0,4
"103",1.65,1.78,4000,0,1,0,0,4
"104",1.45,1.6,1200,0,1,0,0,4
"105",1.35,1.47,4100,0,1,0,0,4
"106",1.35,2.37,21700,0,1,0,0,6
"107",1.35,3.45,16500,0,1,0,1,7
"108",1.25,1.5,15000,0,1,0,0,8
"109",1.2,1.5,18000,0,1,0,0,5
"110",1.2,1.47,11000,0,1,0,0,4
"111",1.2,1.78,6000,0,1,0,0,5
"112",1.15,1.5,8700,0,1,0,0,5
"113",1.15,2.4,7000,0,1,0,0,7
"114",1.15,1.4,35000,0,1,0,0,5
"115",1.15,1.47,17000,0,1,0,0,6
"116",1.11,1.47,17500,0,1,0,0,6
"117",1.1,1.47,33000,0,1,0,0,8
"118",1.1,1.9,14000,0,1,0,0,6
"119",1.1,1.47,26000,0,1,0,0,6
"120",1.05,1.9,5400,0,1,0,0,8
"121",1.05,1.26,5700,0,1,0,0,5
"122",1.05,1.5,6900,0,1,0,0,10
"123",1.05,1.17,6000,0,1,0,0,5
"124",1,1.47,46500,0,1,0,0,8
"125",0.95,1.75,11500,0,1,0,0,9
"126",0.9,1.75,40000,0,1,0,0,12
"127",0.9,0.95,1300,0,1,0,0,4
"128",0.75,0.8,7000,0,1,0,0,5
"129",0.8,0.87,3000,0,1,0,0,4
"130",0.78,0.84,5000,0,1,0,0,4
"131",0.75,0.87,11000,0,1,0,0,4
"132",0.75,0.82,18000,0,1,0,0,6
"133",0.75,0.95,3500,0,1,0,0,4
"134",0.72,0.95,500,0,1,0,0,5
"135",0.65,0.81,11800,0,1,0,0,4
"136",0.65,0.74,5000,0,1,0,0,6
"137",0.65,1.2,23500,0,1,0,0,7
"138",0.65,0.787,16000,0,1,0,0,8
"139",0.6,0.87,15000,0,1,0,0,5
"140",0.6,0.95,16600,0,1,0,0,6
"141",0.6,1.2,32000,0,1,0,0,8
"142",0.6,0.8,20000,0,1,0,0,5
"143",0.6,0.84,29000,0,1,0,0,6
"144",0.6,0.84,25000,0,1,0,0,5
"145",0.6,0.99,25000,0,1,0,0,7
"146",0.6,0.81,19000,0,1,0,0,9
"147",0.55,0.787,15000,0,1,0,0,7
"148",0.55,0.84,58000,0,1,0,0,6
"149",0.52,0.94,45000,0,1,0,0,11
"150",0.51,0.94,24000,0,1,0,0,5
"151",0.5,0.826,6000,0,1,0,0,10
"152",0.5,0.55,31000,0,1,0,0,5
"153",0.5,0.99,13000,0,1,0,0,9
"154",0.5,0.99,45000,0,1,0,0,8
"155",0.5,0.88,8000,0,1,0,0,7
"156",0.48,0.51,4300,0,1,1,0,4
"157",0.48,0.52,15000,0,1,0,0,4
"158",0.48,0.84,23000,0,1,0,0,6
"159",0.48,0.54,8600,0,1,0,0,4
"160",0.45,0.51,4000,0,1,1,0,4
"161",0.45,0.95,24000,0,1,0,0,10
"162",0.45,0.826,23000,0,1,0,0,7
"163",0.45,0.99,14500,0,1,0,0,9
"164",0.45,0.95,27000,0,1,0,0,11
"165",0.45,0.54,14000,0,1,0,0,5
"166",0.45,0.54,500,0,1,1,0,5
"167",0.45,0.55,1000,0,1,0,0,5
"168",0.42,0.81,42000,0,1,0,0,7
"169",0.42,0.73,12000,0,1,0,0,8
"170",0.4,0.54,14000,0,1,0,0,6
"171",0.4,0.83,5500,0,1,0,0,9
"172",0.4,0.55,6700,0,1,0,0,6
"173",0.4,0.64,13700,0,1,0,0,7
"174",0.4,0.51,1300,0,1,1,0,4
"175",0.38,0.72,38600,0,1,0,0,6
"176",0.38,0.787,75000,0,1,0,0,10
"177",0.35,1.05,30000,0,1,0,0,10
"178",0.35,0.57,24000,0,1,1,0,5
"179",0.35,0.52,19000,0,1,1,0,7
"180",0.31,1.05,213000,0,1,0,0,11
"181",0.3,0.51,60000,0,1,0,0,9
"182",0.3,0.48,50000,0,1,0,0,5
"183",0.3,0.58,30000,0,1,0,0,8
"184",0.27,0.47,21000,0,1,0,0,8
"185",0.25,0.75,26000,0,1,0,1,13
"186",0.25,0.58,1900,0,1,1,0,13
"187",0.25,0.52,22000,0,1,1,0,11
"188",0.25,0.51,32000,0,1,0,0,8
"189",0.25,0.57,18000,0,1,0,0,8
"190",0.2,0.57,55000,0,1,0,0,16
"191",0.2,0.75,60000,0,1,0,0,13
"192",0.2,0.57,25000,0,1,0,1,9
"193",0.2,0.75,49000,0,1,0,1,14
"194",0.2,0.65,24000,0,1,0,1,8
"195",0.2,0.787,50000,0,1,0,0,13
"196",0.18,0.32,35000,0,1,0,0,6
"197",0.17,0.52,500000,0,1,1,0,13
"198",0.16,0.51,33000,0,1,0,0,11
"199",0.15,0.57,35000,0,1,0,1,10
"200",0.12,0.58,53000,0,1,0,0,14
"201",0.1,0.75,92233,0,1,0,0,15
"202",3.25,6.79,58000,1,0,0,1,11
"203",4.4,5.7,28200,0,0,0,0,6
"204",2.95,4.6,53460,0,0,0,0,10
"205",2.75,4.43,28282,0,0,0,0,6
"206",5.25,5.7,3493,0,0,0,1,5
"207",5.75,7.13,12479,0,0,0,0,4
"208",5.15,5.7,34797,0,0,1,0,6
"209",7.9,8.1,3435,0,0,0,0,4
"210",4.85,5.7,21125,1,0,0,0,6
"211",3.1,4.6,35775,0,0,0,0,9
"212",11.75,14.79,43535,1,0,0,0,6
"213",11.25,13.6,22671,0,0,0,0,5
"214",2.9,6.79,31604,0,0,0,0,10
"215",5.25,5.7,20114,0,0,0,0,4
"216",4.5,9.4,36100,0,0,0,0,9
"217",2.9,4.43,12500,0,0,0,0,5
"218",3.15,4.43,15000,0,0,0,0,5
"219",6.45,9.4,45078,0,0,0,0,7
"220",4.5,9.4,36000,0,0,0,0,9
"221",3.5,4.43,38488,0,0,0,0,4
"222",4.5,6.79,32000,0,0,1,0,8
"223",6,7.6,77632,1,0,0,0,7
"224",8.25,9.4,61381,1,0,0,0,6
"225",5.11,9.4,36198,0,0,1,0,8
"226",2.7,4.6,22517,0,0,0,0,10
"227",5.25,5.7,24678,0,0,0,0,6
"228",2.55,4.43,57000,0,0,0,0,10
"229",4.95,9.4,60000,1,0,0,0,9
"230",3.1,6.79,52132,1,0,0,0,9
"231",6.15,9.4,45000,1,0,0,0,8
"232",9.25,9.4,15001,0,0,0,0,4
"233",11.45,14.79,12900,0,0,1,0,6
"234",3.9,5.7,53000,1,0,0,0,8
"235",5.5,5.7,4492,0,0,0,0,6
"236",9.1,9.4,15141,0,0,0,0,4
"237",3.1,4.43,11849,0,0,0,0,5
"238",11.25,13.6,68000,1,0,0,0,6
"239",4.8,9.4,60241,0,0,0,0,8
"240",2,4.43,23709,0,0,0,0,9
"241",5.35,9.4,32322,1,0,0,0,9
"242",4.75,7.13,35866,0,0,0,1,6
"243",4.4,7.13,34000,0,0,0,0,7
"244",6.25,7.6,7000,0,0,0,0,5
"245",5.95,9.4,49000,1,0,0,0,8
"246",5.2,9.4,71000,1,0,0,0,9
"247",3.75,6.79,35000,0,0,0,0,9
"248",5.95,9.4,36000,0,0,0,0,6
"249",4,4.6,30000,0,0,0,0,8
"250",5.25,7.6,17000,0,0,0,0,5
"251",12.9,13.6,35934,1,0,0,0,5
"252",5,9.9,56701,0,0,0,0,8
"253",5.4,6.82,31427,0,0,1,0,6
"254",7.2,9.9,48000,1,0,0,0,7
"255",5.25,9.9,54242,0,0,0,0,8
"256",3,5.35,53675,0,0,0,0,9
"257",10.25,13.6,49562,0,0,0,0,5
"258",8.5,13.6,40324,0,0,0,0,6
"259",8.4,13.6,25000,0,0,0,0,6
"260",3.9,7,36054,0,0,0,0,7
